IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.1760662
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.1810517
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.1860723
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.1910825
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.195072
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.2010572
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.206042
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.2100444
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.3740544
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596300.3800364
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4332168
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4372094
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4428434
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4478347
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4521675
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4581153
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4631534
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.467136
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4731293
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596319.4771168
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.3508868
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.367322
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.3723097
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.3783262
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.3962455
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.4032278
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.4071252
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.414106
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.4190986
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596482.4300723
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.565698
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5721648
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5758111
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.580679
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5846667
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5886989
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5913877
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.5973744
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.600708
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596612.605854
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.029198
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0362155
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0401692
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0451887
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0485177
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.053194
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0571878
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0610933
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.068078
IP / TCP 192.168.1.9:ftp_data > 192.168.1.1:http S | Size: 40 bytes | Time: 1733596759.0713398
